ID,Position,Player,Salary,Points,Team,Opponent
1,PG,Trae Young,9600,42.49840064,ATL,OKC
2,C,Clint Capela,8200,38.77092461,ATL,OKC
3,PF,John Collins,7000,29.59149019,ATL,OKC
4,SG,Kevin Huerter,5300,24.71714374,ATL,OKC
5,SG,Cam Reddish,4500,21.8606627,ATL,OKC
6,SF,Danilo Gallinari,5900,17.89259861,ATL,OKC
7,PF,Jayson Tatum,9400,43.96690519,BOS,IND
8,SF,Jaylen Brown,8400,40.80490589,BOS,IND
9,PG,Kemba Walker,6600,28.95517859,BOS,IND
10,PF,Daniel Theis,4900,21.30963026,BOS,IND
11,C,Tristan Thompson,4800,22.50758426,BOS,IND
12,C,Robert Williams,5000,21.99611541,BOS,IND
13,PG,Payton Pritchard,3900,14.00962313,BOS,IND
14,PG,Jeff Teague,4500,12.9160724,BOS,IND
15,SF,Gordon Hayward,7100,38.45711523,CHA,GS
16,PG,LaMelo Ball,7600,37.10218698,CHA,GS
17,SG,Terry Rozier,7000,32.06648683,CHA,GS
18,PF,P.J. Washington,5600,26.82903539,CHA,GS
19,C,Cody Zeller,4800,25.12934795,CHA,GS
20,PF,Miles Bridges,5200,21.49395523,CHA,GS
21,SF,Malik Monk,4900,18.88707685,CHA,GS
22,C,Bismack Biyombo,3500,18.14965941,CHA,GS
23,SG,Zach LaVine,9800,40.19240142,CHI,PHO
24,PF,Thaddeus Young,6800,29.49450946,CHI,PHO
25,C,Wendell Carter,6200,24.74654672,CHI,PHO
26,PG,Coby White,5700,29.49736742,CHI,PHO
27,PF,Patrick Williams,5000,20.95251894,CHI,PHO
28,SF,Garrett Temple,4600,20.23609441,CHI,PHO
29,PG,Tomas Satoransky,3900,18.65803688,CHI,PHO
30,SF,Denzel Valentine,3800,17.80282318,CHI,PHO
31,PF,Daniel Gafford,3700,14.09767422,CHI,PHO
32,PF,Jerami Grant,7600,35.70954034,DET,SAC
33,C,Mason Plumlee,7000,31.21572164,DET,SAC
34,SG,Josh Jackson,5700,22.75011322,DET,SAC
35,SF,Saddiq Bey,5100,15.20248382,DET,SAC
36,PF,Isaiah Stewart,4600,15.47514165,DET,SAC
37,SG,Wayne Ellington,3900,14.3518876,DET,SAC
38,PG,Dennis Smith,4900,15.17896374,DET,SAC
39,PG,Saben Lee,5400,12.82329024,DET,SAC
40,PG,Stephen Curry,10000,51.67582479,GS,CHA
41,SG,Andrew Wiggins,6600,30.06238048,GS,CHA
42,SF,Kelly Oubre,7500,31.31151008,GS,CHA
43,PF,Draymond Green,7300,26.14015821,GS,CHA
44,C,James Wiseman,5200,25.97269077,GS,CHA
45,PF,Juan Toscano-Anderson,4300,15.23913653,GS,CHA
46,C,Eric Paschall,4000,17.91409775,GS,CHA
47,SF,Kent Bazemore,4300,17.20688952,GS,CHA
48,SG,Damion Lee,3700,14.21398431,GS,CHA
49,C,Kevon Looney,3900,14.12751366,GS,CHA
50,PG,Brad Wanamaker,3900,14.12151226,GS,CHA
51,PG,John Wall,8500,35.10271488,HOU,TOR
52,SG,Victor Oladipo,7600,37.04899146,HOU,TOR
53,SG,Eric Gordon,5300,27.65451592,HOU,TOR
54,PF,Jae'Sean Tate,6600,18.45816256,HOU,TOR
55,SF,Danuel House,4500,18.25247305,HOU,TOR
56,SF,David Nwaba,5300,18.23236813,HOU,TOR
57,SF,Kevin Porter,3700,16.72180436,HOU,TOR
58,PG,Sterling Brown,3900,17.70956321,HOU,TOR
59,C,Justin Patton,3500,14.61923564,HOU,TOR
60,PF,P.J. Tucker,3500,12.38606854,HOU,TOR
61,PF,Domantas Sabonis,9900,53.35948211,IND,BOS
62,PG,Malcolm Brogdon,8000,39.5033325,IND,BOS
63,C,Myles Turner,7200,36.43068888,IND,BOS
64,PG,T.J. McConnell,5500,24.7185194,IND,BOS
65,SF,Justin Holiday,4900,23.34444275,IND,BOS
66,SG,Jeremy Lamb,5000,22.95071318,IND,BOS
67,SF,Doug McDermott,4400,20.69596842,IND,BOS
68,SG,Aaron Holiday,3500,12.8471298,IND,BOS
69,SF,Kawhi Leonard,9700,47.67997262,LAC,MEM
70,SG,Paul George,8600,39.83562685,LAC,MEM
71,PF,Serge Ibaka,5200,27.56834367,LAC,MEM
72,SF,Nicolas Batum,4600,23.06650215,LAC,MEM
73,SG,Lou Williams,5500,21.42526384,LAC,MEM
74,C,Ivica Zubac,5400,20.39387779,LAC,MEM
75,PF,Marcus Morris,5300,22.50782648,LAC,MEM
76,PG,Patrick Beverley,4500,19.16157047,LAC,MEM
77,PG,Reggie Jackson,5300,16.78736373,LAC,MEM
78,SG,Luke Kennard,4000,13.89746837,LAC,MEM
79,SF,LeBron James,10500,49.20497041,LAL,POR
80,PG,Dennis Schroder,5700,26.09586065,LAL,POR
81,C,Montrezl Harrell,5800,21.48248785,LAL,POR
82,PF,Kyle Kuzma,5700,21.39860145,LAL,POR
83,C,Marc Gasol,4500,14.03004128,LAL,POR
84,SG,Kentavious Caldwell-Pope,3700,16.66856466,LAL,POR
85,SG,Talen Horton-Tucker,3900,16.16068773,LAL,POR
86,PG,Alex Caruso,3600,14.28780944,LAL,POR
87,PG,Ja Morant,7200,36.97718881,MEM,LAC
88,C,Jonas Valanciunas,7500,36.4917313,MEM,LAC
89,SF,Kyle Anderson,6500,27.69186577,MEM,LAC
90,PF,Brandon Clarke,5800,26.53564208,MEM,LAC
91,SG,Dillon Brooks,5200,26.77337301,MEM,LAC
92,PG,Tyus Jones,4600,23.52585648,MEM,LAC
93,PG,De'Anthony Melton,4100,22.18181818,MEM,LAC
94,PF,Xavier Tillman,4300,19.7029828,MEM,LAC
95,SG,Grayson Allen,4700,19.14290621,MEM,LAC
96,C,Gorgui Dieng,4200,19.78722453,MEM,LAC
97,SG,Desmond Bane,3700,16.44645187,MEM,LAC
98,SG,John Konchar,3500,13.771478,MEM,LAC
99,SF,Jimmy Butler,9200,42.43105318,MIA,UTA
100,PF,Bam Adebayo,8900,39.8343925,MIA,UTA
101,SG,Tyler Herro,6000,28.05814454,MIA,UTA
102,PG,Kendrick Nunn,5600,23.38087171,MIA,UTA
103,PG,Goran Dragic,4600,22.89684276,MIA,UTA
104,C,Kelly Olynyk,4400,20.79543751,MIA,UTA
105,SF,Duncan Robinson,4800,19.84752637,MIA,UTA
106,SG,Andre Iguodala,3800,14.82415184,MIA,UTA
107,SF,Precious Achiuwa,3500,12.46185105,MIA,UTA
108,SG,Shai Gilgeous-Alexander,8000,45.66351908,OKC,ATL
109,PF,Darius Bazley,5800,23.84522406,OKC,ATL
110,SG,Luguentz Dort,4400,23.34635505,OKC,ATL
111,PF,Isaiah Roby,4600,19.5086784,OKC,ATL
112,PG,Theo Maledon,4500,17.44719928,OKC,ATL
113,PF,Mike Muscala,4100,16.39378354,OKC,ATL
114,SF,Kenrich Williams,4500,15.60544346,OKC,ATL
115,SF,Justin Jackson,3700,13.38928429,OKC,ATL
116,PF,Aleksej Pokusevski,3500,12.61726562,OKC,ATL
117,PG,Chris Paul,7500,37.58473994,PHO,CHI
118,SG,Devin Booker,7700,35.4416155,PHO,CHI
119,C,Deandre Ayton,6800,34.10806201,PHO,CHI
120,SF,Mikal Bridges,5500,28.52520256,PHO,CHI
121,PF,Jae Crowder,4600,24.12771478,PHO,CHI
122,SF,Cameron Johnson,3800,20.07229703,PHO,CHI
123,PF,Dario Saric,4000,20.66330131,PHO,CHI
124,PF,Frank Kaminsky,3900,17.14179023,PHO,CHI
125,PG,Cameron Payne,4000,15.86504193,PHO,CHI
126,PG,Damian Lillard,10300,46.48261095,POR,LAL
127,C,Enes Kanter,6300,30.37711594,POR,LAL
128,PF,Robert Covington,6200,25.20852264,POR,LAL
129,SF,Carmelo Anthony,5000,23.88950979,POR,LAL
130,SG,Gary Trent,5500,21.27891989,POR,LAL
131,SF,Derrick Jones,5300,20.73240153,POR,LAL
132,PG,Anfernee Simons,3500,13.67657951,POR,LAL
133,PG,De'Aaron Fox,7800,38.73438577,SAC,DET
134,SG,Tyrese Haliburton,7500,32.38414214,SAC,DET
135,SF,Harrison Barnes,6200,29.03978297,SAC,DET
136,C,Richaun Holmes,6500,30.33130375,SAC,DET
137,SG,Buddy Hield,5800,29.3423995,SAC,DET
138,PF,Marvin Bagley,6000,26.57895096,SAC,DET
139,PF,Nemanja Bjelica,4900,16.53369115,SAC,DET
140,PG,Cory Joseph,4000,14.26670286,SAC,DET
141,SF,DaQuan Jeffries,4600,12.64538756,SAC,DET
142,SG,Fred VanVleet,8200,41.9230673,TOR,HOU
143,PG,Kyle Lowry,8000,34.98015032,TOR,HOU
144,PF,Chris Boucher,6500,31.45552047,TOR,HOU
145,SF,OG Anunoby,5400,28.59680545,TOR,HOU
146,SG,Norman Powell,6500,26.35376079,TOR,HOU
147,C,Aron Baynes,4000,14.44877348,TOR,HOU
148,C,Rudy Gobert,8000,42.30007603,UTA,MIA
149,SG,Donovan Mitchell,8300,36.9816908,UTA,MIA
150,PG,Mike Conley,6000,31.50074654,UTA,MIA
151,SG,Jordan Clarkson,5600,26.89092763,UTA,MIA
152,SF,Bojan Bogdanovic,5600,23.54202611,UTA,MIA
153,SG,Joe Ingles,4800,21.58497697,UTA,MIA
154,PF,Royce O'Neale,4600,22.14973805,UTA,MIA
155,C,Derrick Favors,4200,19.61867036,UTA,MIA